"Tarih","Saat","Tuketim"
"01.01.2022","00:00","31.021,25"
"01.01.2022","01:00","29.710,69"
"01.01.2022","02:00","28.318,53"
"01.01.2022","03:00","27.169,55"
"01.01.2022","04:00","26.525,16"
"01.01.2022","05:00","26.319,80"
"01.01.2022","06:00","26.809,64"
"01.01.2022","07:00","26.969,94"
"01.01.2022","08:00","27.592,75"
"01.01.2022","09:00","29.365,83"
"01.01.2022","10:00","31.016,83"
"01.01.2022","11:00","32.843,03"
"01.01.2022","12:00","33.557,93"
"01.01.2022","13:00","33.795,67"
"01.01.2022","14:00","33.586,58"
"01.01.2022","15:00","33.220,55"
"01.01.2022","16:00","33.558,85"
"01.01.2022","17:00","35.121,94"
"01.01.2022","18:00","36.687,64"
"01.01.2022","19:00","36.206,53"
"01.01.2022","20:00","35.282,80"
"01.01.2022","21:00","34.354,39"
"01.01.2022","22:00","33.503,32"
"01.01.2022","23:00","31.717,84"
"02.01.2022","00:00","30.615,75"
"02.01.2022","01:00","29.152,76"
"02.01.2022","02:00","27.846,05"
"02.01.2022","03:00","27.240,79"
"02.01.2022","04:00","26.902,44"
"02.01.2022","05:00","26.892,20"
"02.01.2022","06:00","27.161,92"
"02.01.2022","07:00","27.920,37"
"02.01.2022","08:00","28.202,82"
"02.01.2022","09:00","30.137,55"
"02.01.2022","10:00","32.336,06"
"02.01.2022","11:00","33.645,71"
"02.01.2022","12:00","34.080,44"
"02.01.2022","13:00","34.684,44"
"02.01.2022","14:00","34.629,58"
"02.01.2022","15:00","34.388,65"
"02.01.2022","16:00","34.421,76"
"02.01.2022","17:00","35.909,96"
"02.01.2022","18:00","37.677,56"
"02.01.2022","19:00","37.504,62"
"02.01.2022","20:00","36.950,09"
"02.01.2022","21:00","36.002,90"
"02.01.2022","22:00","35.426,92"
"02.01.2022","23:00","33.986,99"
"03.01.2022","00:00","32.072,88"
"03.01.2022","01:00","30.325,87"
"03.01.2022","02:00","29.104,46"
"03.01.2022","03:00","28.572,01"
"03.01.2022","04:00","28.599,23"
"03.01.2022","05:00","28.924,11"
"03.01.2022","06:00","30.468,10"
"03.01.2022","07:00","33.816,67"
"03.01.2022","08:00","39.803,21"
"03.01.2022","09:00","43.286,52"
"03.01.2022","10:00","44.071,92"
"03.01.2022","11:00","44.598,12"
"03.01.2022","12:00","42.758,10"
"03.01.2022","13:00","42.478,47"
"03.01.2022","14:00","42.832,31"
"03.01.2022","15:00","42.582,36"
"03.01.2022","16:00","42.959,28"
"03.01.2022","17:00","43.899,52"
"03.01.2022","18:00","43.858,17"
"03.01.2022","19:00","42.558,67"
"03.01.2022","20:00","41.397,07"
"03.01.2022","21:00","40.519,22"
"03.01.2022","22:00","38.999,28"
"03.01.2022","23:00","37.475,26"
"04.01.2022","00:00","35.117,65"
"04.01.2022","01:00","33.261,35"
"04.01.2022","02:00","32.327,58"
"04.01.2022","03:00","31.432,61"
"04.01.2022","04:00","31.282,29"
"04.01.2022","05:00","31.777,84"
"04.01.2022","06:00","33.079,25"
"04.01.2022","07:00","35.737,18"
"04.01.2022","08:00","40.621,76"
"04.01.2022","09:00","43.435,87"
